Model,Feature,Target,Importance
LVA,Caitlin Clark,opp_score,0.0
LVA,Cameron Brink,team_score,0.0
LVA,Cameron Brink,opp_score,0.0
LVA,Chennedy Carter,team_score,0.0
LVA,Chennedy Carter,opp_score,0.0
MIN,Kiah Stokes,team_score,0.0
NYL,Temi Fagbenle,team_score,0.0
NYL,Temi Fagbenle,opp_score,0.0
NYL,Tina Charles,team_score,0.0
NYL,Tina Charles,opp_score,0.0
LVA,Kamilla Cardoso,opp_score,0.0
LVA,Kayla McBride,team_score,0.0
LVA,Kayla McBride,opp_score,0.0
LVA,Kelsey Mitchell,team_score,0.0
LVA,Kelsey Mitchell,opp_score,0.0
LVA,Cheyenne Parker-Tyus,team_score,0.0
MIN,Kelsey Plum,opp_score,0.0
LVA,Dearica Hamby,team_score,0.0
LVA,Dearica Hamby,opp_score,0.0
LVA,Diana Taurasi,team_score,0.0
LVA,Diana Taurasi,opp_score,0.0
LVA,Elizabeth Williams,team_score,0.0
LVA,Elizabeth Williams,opp_score,0.0
LVA,Ezi Magbegor,team_score,0.0
LVA,Ezi Magbegor,opp_score,0.0
LVA,Aari McDonald,opp_score,0.0
PHO,Aliyah Boston,opp_score,0.0
PHO,Allisha Gray,team_score,0.0
PHO,Allisha Gray,opp_score,0.0
PHO,Alysha Clark,team_score,0.0
PHO,Alysha Clark,opp_score,0.0
PHO,Alyssa Thomas,team_score,0.0
LVA,Aaliyah Edwards,team_score,0.0
LVA,Aaliyah Edwards,opp_score,0.0
LVA,Aari McDonald,team_score,0.0
PHO,Aliyah Boston,team_score,0.0
LVA,Alanna Smith,team_score,0.0
LVA,Alanna Smith,opp_score,0.0
LVA,Aliyah Boston,team_score,0.0
LVA,Aliyah Boston,opp_score,0.0
PHO,Azura Stevens,team_score,0.0
PHO,Azura Stevens,opp_score,0.0
PHO,Breanna Stewart,team_score,0.0
PHO,Breanna Stewart,opp_score,0.0
PHO,Bridget Carleton,team_score,0.0
LVA,Angel Reese,team_score,0.0
LVA,Cheyenne Parker-Tyus,opp_score,0.0
LVA,DeWanna Bonner,team_score,0.0
LVA,DeWanna Bonner,opp_score,0.0
LVA,Allisha Gray,team_score,0.0
LVA,Allisha Gray,opp_score,0.0
LVA,Alysha Clark,team_score,0.0
LVA,Alysha Clark,opp_score,0.0
LVA,Alyssa Thomas,team_score,0.0
LVA,Alyssa Thomas,opp_score,0.0
DAL,Rebecca Allen,team_score,0.0
LVA,Angel Reese,opp_score,0.0
LVA,Ariel Atkins,team_score,0.0
LVA,Ariel Atkins,opp_score,0.0
LVA,Arike Ogunbowale,team_score,0.0
